x,y,z,description
0.611205865892327,0.2640719616777129,1.25,MPC generated waypoint 90/100
0.6128012600055489,0.26491143628929853,1.25,MPC generated waypoint 91/100
0.6143986754458728,0.2657470581601319,1.25,MPC generated waypoint 92/100
0.6159981275118316,0.2665787751124061,1.25,MPC generated waypoint 93/100
0.6175996315871,0.26740653395222513,1.25,MPC generated waypoint 94/100
0.619203203196817,0.2682302803285506,1.25,MPC generated waypoint 95/100
0.6208088580662038,0.26904995858275443,1.25,MPC generated waypoint 96/100
0.6224166121817247,0.26986551158779176,1.25,MPC generated waypoint 97/100
0.624026481855082,0.27067688057586337,1.25,MPC generated waypoint 98/100
0.6256384837903772,0.2714840049532703,1.25,MPC generated waypoint 99/100
0.7,0.3,1.25,MPC generated waypoint 100/100
